epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
52,1494.18,0.38274,0.51428,0.31148,0.84515,0,0.98288,1,0.98594,0.93841,0.98288,1,0.98594,0.91043,0.31527,0.37519,0.29562,0.77484,0,0.0009902,0.0009902,0.0009902
53,1522.9,0.39256,0.52006,0.31941,0.8437,0,0.98346,1,0.99141,0.95181,0.98346,1,0.99141,0.92282,0.30465,0.36946,0.26914,0.77952,0,0.0009704,0.0009704,0.0009704
54,1551,0.39001,0.49227,0.30991,0.84755,0,0.98348,1,0.98438,0.93438,0.98348,1,0.98438,0.92289,0.32911,0.36517,0.29115,0.78201,0,0.0009506,0.0009506,0.0009506
55,1579.48,0.39673,0.5526,0.32977,0.84805,0,0.96532,1,0.99004,0.94153,0.96532,1,0.99004,0.92228,0.33007,0.37988,0.29577,0.7845,0,0.0009308,0.0009308,0.0009308
56,1607.7,0.36806,0.50942,0.29609,0.83504,0,0.98347,1,0.98266,0.93049,0.98347,1,0.98266,0.91101,0.31237,0.3738,0.28236,0.78231,0,0.000911,0.000911,0.000911
57,1635.39,0.3932,0.52298,0.30467,0.84628,0,0.98341,1,0.98344,0.93931,0.98341,1,0.98344,0.92402,0.30687,0.37203,0.27692,0.77991,0,0.0008912,0.0008912,0.0008912
58,1663.79,0.38025,0.48247,0.2944,0.84151,0,0.98336,1,0.98391,0.94913,0.98336,1,0.98391,0.92926,0.28855,0.36364,0.2728,0.77723,0,0.0008714,0.0008714,0.0008714
59,1692.4,0.36458,0.51091,0.29327,0.84985,0,0.9832,1,0.98141,0.94592,0.9832,1,0.98141,0.91181,0.319,0.37679,0.26175,0.78876,0,0.0008516,0.0008516,0.0008516
60,1719.64,0.36895,0.50791,0.28745,0.84842,0,0.98281,1,0.98047,0.95196,0.98281,1,0.98047,0.92229,0.27724,0.38371,0.26187,0.78375,0,0.0008318,0.0008318,0.0008318
61,1746.94,0.36174,0.49785,0.28706,0.83986,0,0.98346,1,0.98219,0.94262,0.98346,1,0.98219,0.91689,0.31204,0.3775,0.25563,0.79634,0,0.000812,0.000812,0.000812
62,1774.65,0.36945,0.49778,0.28527,0.84041,0,0.98349,1,0.98172,0.93686,0.98349,1,0.98172,0.91913,0.3044,0.36605,0.26441,0.78807,0,0.0007922,0.0007922,0.0007922
63,1803.59,0.37215,0.47556,0.29111,0.8399,0,0.98339,1,0.98594,0.95416,0.98339,1,0.98594,0.93025,0.28408,0.38763,0.25715,0.77812,0,0.0007724,0.0007724,0.0007724
64,1832.42,0.39505,0.50704,0.28643,0.8516,0,0.98231,1,0.98125,0.94631,0.98231,1,0.98125,0.9283,0.28699,0.36429,0.26053,0.77488,0,0.0007526,0.0007526,0.0007526
65,1860.69,0.36977,0.486,0.28706,0.84338,0,0.98339,1,0.98469,0.9378,0.98339,1,0.98469,0.91763,0.31474,0.3769,0.25004,0.78233,0,0.0007328,0.0007328,0.0007328
66,1888.66,0.36348,0.48146,0.28378,0.83847,0,0.9833,1,0.97969,0.93428,0.9833,1,0.97969,0.90858,0.30794,0.38177,0.26491,0.7873,0,0.000713,0.000713,0.000713
67,1916.84,0.35965,0.49058,0.28443,0.83878,0,0.98342,1,0.98,0.94554,0.98342,1,0.98,0.91026,0.28762,0.3676,0.25521,0.78454,0,0.0006932,0.0006932,0.0006932
68,1944.81,0.34361,0.44744,0.26806,0.83512,0,0.98353,1,0.98188,0.94888,0.98353,1,0.98188,0.91385,0.30086,0.36095,0.24277,0.78238,0,0.0006734,0.0006734,0.0006734
69,1972.04,0.35554,0.49447,0.28296,0.85079,0,0.98332,1,0.98859,0.95139,0.98332,1,0.98859,0.93637,0.26416,0.36047,0.24287,0.781,0,0.0006536,0.0006536,0.0006536
